"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@flapjacks62 @CBSThisMorning @GayleKing Also Jocelyn has a mother like influenza over Azriel",FALSE,1,"Jamesco81097456",2019-03-09 00:56:15,FALSE,"1104095312191373313","1104184087869313024","1059810048845725699","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jamesco81097456",0,FALSE,FALSE,NA,NA
"2","The couple that does everything together get sick together too #influenza https://t.co/KgyyzfgQrw",FALSE,0,NA,2019-03-09 00:35:51,FALSE,NA,"1104178953886068737",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RockChalkJ",0,FALSE,FALSE,NA,NA
"3","@El_Influenza Thank you! I will!! <U+0001F60A>",FALSE,0,"El_Influenza",2019-03-09 00:11:48,FALSE,"1104171197380595714","1104172898078597120","1070699989796577280","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlaskanCourtney",0,FALSE,FALSE,NA,NA
"4",".@SciShow asks: Unlike measles, Influenza requires a fresh shot of vaccines every year. But why?… https://t.co/9O1JyWuyoG",FALSE,1,NA,2019-03-08 23:39:06,TRUE,NA,"1104164670070493189",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","austnyan",0,FALSE,FALSE,NA,NA
"5","Looking like a hot night featuring @NyQuilDayQuil and Influenza Fever dreams interspersed with #LivePD on @AENetworks",FALSE,1,NA,2019-03-08 23:36:03,FALSE,NA,"1104163902844227584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RickardonSports",0,FALSE,FALSE,NA,NA
"6","A more potent influenza strain is now circulating through Indiana and Indianapolis.
https://t.co/2PofV3HwDG",FALSE,0,NA,2019-03-08 23:30:00,FALSE,NA,"1104162382090326021",NA,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>","indystar",1,FALSE,FALSE,NA,NA
"7","i’m gonna manifest all my powers to cure this influenza i’ve been stricken with",FALSE,0,NA,2019-03-08 22:54:57,FALSE,NA,"1104153558193184770",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rachelewebster",0,FALSE,FALSE,NA,NA
"8","In my 20 years of life I have never been diagnosed with the actual influenza until now<U+0001F926><U+0001F3FC><U+200D><U+2640><U+FE0F> #greatstartomyweekend #not",FALSE,0,NA,2019-03-08 22:52:06,FALSE,NA,"1104152843748065281",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BritneeHumphrey",0,FALSE,FALSE,NA,NA
"9","About a decade ago, scientists discovered ""broadly neutralizing antibodies"" that target a sophisticated part of the… https://t.co/d3KfcaUifr",FALSE,0,NA,2019-03-08 22:50:06,TRUE,NA,"1104152340075069440",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","CHCAlbany",0,FALSE,FALSE,NA,NA
"10","According to outpatient healthcare statistics, the number of people who reported influenza-like illness (ILI) fell… https://t.co/RfDZWMRc1F",FALSE,0,NA,2019-03-08 22:30:05,TRUE,NA,"1104147301197643776",NA,"<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>","biomerieux_inc",0,FALSE,FALSE,NA,NA
"11","CDC: #Flu activity still high, linked to 8 new kids' deaths https://t.co/0ZnJZXehZx #influenza https://t.co/oBxXz0E3BK",FALSE,2,NA,2019-03-08 22:24:17,FALSE,NA,"1104145844020891650",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","CIDRAP",1,FALSE,FALSE,NA,NA
"12","@FoxyRoxyMUA @norvina1 Im marching my butt into Sephora sick with Influenza and all just so I can get mine tonight… https://t.co/LBBKvTUcpD",FALSE,1,"FoxyRoxyMUA",2019-03-08 22:24:12,TRUE,"1104118713090011138","1104145820859990016","253147065","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dannydanngermua",0,FALSE,FALSE,NA,NA
"13","Great group studying sex differences in influenza vaccination on #InternationalWomensDay hear more about this topic… https://t.co/ps0gNZRuwy",FALSE,6,NA,2019-03-08 22:18:39,TRUE,NA,"1104144423028432896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","andrewpekosz",0,FALSE,FALSE,NA,NA
"14","The first official meeting of The Johns Hopkins Specialized Center  (SCORE) for Sex and Age Differences in Immunity… https://t.co/U6Vk79bTJC",FALSE,7,NA,2019-03-08 22:15:15,TRUE,NA,"1104143567684014080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JH_WomensHealth",2,FALSE,FALSE,NA,NA
"15","Janssen, Scripps discover small molecule for flu: Janssen and Scripps have generated an oral compound for treating… https://t.co/jQPjsbwgKw",FALSE,0,NA,2019-03-08 22:04:32,TRUE,NA,"1104140872541589504",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","cafepharma",1,FALSE,FALSE,NA,NA
"16","Flu is still present across Canada, with activity up slightly this week! Stay on guard to prevent illness and sprea… https://t.co/Vu5oq3gcvG",FALSE,1,NA,2019-03-08 22:00:12,TRUE,NA,"1104139779803885571",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","CPHO_Canada",1,FALSE,FALSE,NA,NA
"17","Please no visitors to the new house this weekend.  This kiddo just tested positive for Influenza A.  #SickKiddo… https://t.co/By5qYwSsLe",FALSE,0,NA,2019-03-08 21:50:38,TRUE,NA,"1104137373561036800",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","decajene",0,FALSE,FALSE,NA,NA
"18","Ugh!!! Well, I thought I dodged it all this season. Not really...’Influenza Type A.’ Joy! <U+0001F637><U+0001F927><U+0001F912><U+0001F620> https://t.co/AN3czhDoIM",FALSE,1,NA,2019-03-08 21:46:23,FALSE,NA,"1104136304067960832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CraigCoffeyNow",0,FALSE,FALSE,NA,NA
"19","And @rosadelauro's statement: DeLauro Statement on HHS Transferring $385 Million to Unaccompanied Children Program… https://t.co/0EWSg6OVOq",FALSE,0,"DonnaYoungDC",2019-03-08 21:46:08,TRUE,"1104121031462174720","1104136241803612160","593813785","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DonnaYoungDC",0,FALSE,FALSE,NA,NA
"20","Listen! Influenza &amp; Pneumonia are NO JOKE! Get your annual Flu shot &amp; if ur over 65, get ur Pneumonia vaccine. If u… https://t.co/6ZRxcvDqNh",FALSE,0,NA,2019-03-08 21:38:53,TRUE,NA,"1104134416987770881",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Cyn190",0,FALSE,FALSE,NA,NA
"21","@melifix @PolitiBunny @El_Influenza @Johnny_Joey @Patriot_Musket Thanks a million, Mel.",FALSE,1,"melifix",2019-03-08 21:35:51,FALSE,"1104133349772189696","1104133651879596032","790467060","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WayneMcCabe1",0,FALSE,FALSE,NA,NA
"22","#5 is out and #6 is in.    #knee. #kneepain   #knee-replacement. @PolitiBunny @melifix  @El_Influenza  @Johnny_Joey… https://t.co/4WZ8jpCgaW",FALSE,2,NA,2019-03-08 21:33:30,TRUE,NA,"1104133061564862464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WayneMcCabe1",0,FALSE,FALSE,NA,NA
"23","Tennessee horses returning from out-of-state events test positive for equine influenza
https://t.co/9gG83NpW9A",FALSE,3,NA,2019-03-08 21:25:03,FALSE,NA,"1104130936831119360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NC5",0,FALSE,FALSE,NA,NA
