"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Our plans for @CatVideoFest tomorrow have died a sorry death - sister's two grandkids are both sick, one with stoma… https://t.co/922bI0K3cQ",FALSE,0,NA,2019-03-09 00:47:41,TRUE,NA,"1104181930923360257",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cabri",0,FALSE,FALSE,NA,NA
"2","I love my Rebs! 

I don’t love the flu and Lysol highs.... https://t.co/i9sH6rKLzb",FALSE,0,NA,2019-03-09 00:45:34,FALSE,NA,"1104181397122699267",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","catyreeves",0,FALSE,FALSE,NA,NA
"3","@rizdawg7 I’m on 9 ear infections. Was supposed to get tubes 3/1 but got the flu 4 days before and had to push back another 5 weeks",FALSE,1,"rizdawg7",2019-03-09 00:43:36,FALSE,"1104180494713933825","1104180901930516480","552073493","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JerseyHawk68",0,FALSE,FALSE,NA,NA
"4","Challenge for Day 67 Sometimes the “right” code doesn’t necessarily feel right. This isn’t because the code is bad,… https://t.co/zoYLtlAbQX",FALSE,0,NA,2019-03-09 00:43:30,TRUE,NA,"1104180877779787776",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","DeveloperTea",0,FALSE,FALSE,NA,NA
"5","@bulletgifts Just take care of you.  I totally missed last Saturday, slept right through it.  Flu is the pits.  Feel better <U+0001F64F><U+0001F64F><U+0001F64F><U+0001F64F>",FALSE,1,"bulletgifts",2019-03-09 00:43:05,FALSE,"1104178530294870016","1104180773224148992","932289159665942528","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","PYon_LiveLife",0,FALSE,FALSE,NA,NA
"6","@WhoopiGoldberg my prayers are with you for complete healing and recovery! Moms going thru it now and had emergency… https://t.co/EBRXXdGVed",FALSE,0,"WhoopiGoldberg",2019-03-09 00:42:06,TRUE,NA,"1104180525793714176","284602545","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AmyVenti",0,FALSE,FALSE,NA,NA
"7","@catrachxs You have the flu girl",FALSE,1,"catrachxs",2019-03-09 00:41:55,FALSE,"1104162593332256770","1104180479429890048","1100242952671027200","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","patricknathan",0,FALSE,FALSE,NA,NA
"8","@HislopMD Had a patient once on VV ECMO for flu. No flu shot (anti-vax in general). Rest of family didn’t get flu s… https://t.co/aQbjqEJPLw",FALSE,0,"HislopMD",2019-03-09 00:41:19,TRUE,"1103845326530605056","1104180326279143424","128109346","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bryanboling",0,FALSE,FALSE,NA,NA
"9","Flu activity still widespread in Kentucky https://t.co/J17TU9xPJ9",FALSE,0,NA,2019-03-09 00:40:42,FALSE,NA,"1104180172742373376",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","godschild1966",0,FALSE,FALSE,NA,NA
"10","@iownjd @iamoppose Awe. I’m so sorry to hear this. The flu is horrible. I send you lots of love and prayers <U+0001F622><U+0001F64F><U+0001F64F><U+0001F64F>",FALSE,0,"iownjd",2019-03-09 00:39:51,FALSE,"1104136539846725632","1104179958438612993","262749118","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EllenKolb",0,FALSE,FALSE,NA,NA
"11","Flu activity still widespread in Kentucky https://t.co/KjOr8WQRwF",FALSE,0,NA,2019-03-09 00:39:04,FALSE,NA,"1104179763416100867",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","godschild1966",0,FALSE,FALSE,NA,NA
"12","Flu season may not have peaked, and there's another wave of severe infections underway, CDC says - CNN https://t.co/LrcnZqnOyx",FALSE,0,NA,2019-03-09 00:38:40,FALSE,NA,"1104179662593368064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MRCEOCARLOS",0,FALSE,FALSE,NA,NA
"13","@BasketballRoto Just like Jordan was probable with the flu.
#Detroitbasketball",FALSE,1,"BasketballRoto",2019-03-09 00:38:33,FALSE,"1103789430291099648","1104179632834793474","798626073550258176","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PistonStandard",0,FALSE,FALSE,NA,NA
"14","@persisting2017 @WhoopiGoldberg @DavidTennantPod My moms been in the hospital 2 weeks with flu turned into pneumoni… https://t.co/2NQNRJTVc4",FALSE,0,"persisting2017",2019-03-09 00:37:56,TRUE,"1104179055908216832","1104179478341791744","817918474320166912","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AmyVenti",0,FALSE,FALSE,NA,NA
"15","“Why are people throwing cheese at their babies it’s so mean!”

THEY’RE HAVING FUN SUSAN
TALK ABOUT THE MORONS NOT… https://t.co/wllFcBPH8K",FALSE,0,NA,2019-03-09 00:37:40,TRUE,NA,"1104179409601343488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Slateski_Sucks",0,FALSE,FALSE,NA,NA
"16","confirmed case of the flu. 

excellent.. <U+0001F637>",FALSE,0,NA,2019-03-09 00:36:55,FALSE,NA,"1104179221348405250",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_nahaled",0,FALSE,FALSE,NA,NA
"17","There's a second wave of severe flu infections happening, CDC says @CNN https://t.co/8CXcQlBqFY",FALSE,1,NA,2019-03-09 00:36:41,FALSE,NA,"1104179160816279552",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","theredqueen81",1,FALSE,FALSE,NA,NA
"18","There's a second wave of severe flu infections happening, CDC says @CNN https://t.co/lPdNDh5VuX",FALSE,0,NA,2019-03-09 00:36:40,FALSE,NA,"1104179157049720837",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MagnoliaG2012",0,FALSE,FALSE,NA,NA
"19","A pill that mimics natural antibodies could fight many kinds of flu, reports a new study in Science - Mice that wer… https://t.co/DYlF0obKkV",FALSE,0,NA,2019-03-09 00:36:34,TRUE,NA,"1104179130768285698",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","DrSherryChandy",0,FALSE,FALSE,NA,NA
"20","Arghh I have the flipping flu",FALSE,0,NA,2019-03-09 00:35:58,FALSE,NA,"1104178980888801281",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_stonyyy",0,FALSE,FALSE,NA,NA
