"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@gkristin38 The flu has been going around <U+0001F62D><U+0001F62D> you gotta kill whoever infected you!",FALSE,0,"gkristin38",2019-03-08 20:38:20,FALSE,"1104118095046692864","1104119180025053185","825526826","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Damnitalijah",0,FALSE,FALSE,NA,NA
"2","@real_negus_ After a certain age nah I was getting them an I wasn’t getting sick.  Shid i never even had the flu before.",FALSE,0,"real_negus_",2019-03-08 20:38:00,FALSE,"1104118568994697217","1104119096625508353","347686568","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","__AlmightyGuwop",0,FALSE,FALSE,NA,NA
"3","Every...single...vaccine! Most of you saying this is great have not had a vaccine in 5, 10, even 20 years, except m… https://t.co/vPUSfkeOUk",FALSE,0,NA,2019-03-08 20:37:58,TRUE,NA,"1104119086261460993",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","OptimalHealthIA",0,FALSE,FALSE,NA,NA
"4","@KngKobun Yeah I had some chest pains and coughs but it's just my body still recovering from that flu I had",FALSE,1,"KngKobun",2019-03-08 20:37:51,FALSE,"1104118860276551680","1104119058222465026","1253098656","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mareckirawr",0,FALSE,FALSE,NA,NA
"5","Everyone take care and take precautions. https://t.co/uMjg3QaVbv",FALSE,0,NA,2019-03-08 20:36:05,FALSE,NA,"1104118611860434944",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","NadineWisdom",0,FALSE,FALSE,NA,NA
"6","The flu is no joke, I seriously need to start feeling better or I’m gonna go insane... https://t.co/mQ8JlnCcfe",FALSE,0,NA,2019-03-08 20:35:40,FALSE,NA,"1104118509640929282",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ortiz122491",0,FALSE,FALSE,NA,NA
"7","the morning he passed away, Grandpa had walked to mass and back. Grandma called to ask what he wanted for lunch and… https://t.co/Mjifuwhb24",FALSE,0,"TheDaniCakes",2019-03-08 20:35:23,TRUE,"1104114772423991296","1104118437553549312","201751876","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheDaniCakes",0,FALSE,FALSE,NA,NA
"8","I mean what can possibly go wrong !!!
US Government lifts ban to allow 'dangerous' bird flu experiments… https://t.co/1tDxvDjs0Q",FALSE,0,NA,2019-03-08 20:34:49,TRUE,NA,"1104118292027973633",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lawtown_Mass",0,FALSE,FALSE,NA,NA
"9","@BentonCanup Hi, Laura. Check out this link to learn more: https://t.co/BH2r8nF4Em.",FALSE,0,"BentonCanup",2019-03-08 20:34:05,FALSE,"1104078521197101057","1104118107721924610","83851056","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","HHSGov",0,FALSE,FALSE,NA,NA
"10","@SealifeStefanik The only disease listed in the article that you can get vaccinated for is the flu everything else… https://t.co/rXvScMZAq0",FALSE,0,"SealifeStefanik",2019-03-08 20:33:36,TRUE,"1104116014361600001","1104117987127296000","3113428285","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cbissell_",0,FALSE,FALSE,NA,NA
